1,0,START,,20:20:00,,#ŽÀŒ±ŠJŽn
294,1,R2_CHECK1,ADD_STOP,21:13:30,,#
295,1,R2_CHECK1,REMOVE_STOP,21:16:30,,#
296,1,R2_CHECK1,ADD_STOP,21:17:30,,#
297,1,R2_CHECK1,REMOVE_STOP,21:20:30,,#
298,1,R2_CHECK1,ADD_STOP,21:21:30,,#
299,1,R2_CHECK1,REMOVE_STOP,21:24:30,,#
300,1,R2_CHECK1,ADD_STOP,21:25:30,,#
301,1,R2_CHECK1,REMOVE_STOP,21:28:30,,#
302,1,R2_CHECK1,ADD_STOP,21:29:30,,#
303,1,R2_CHECK1,REMOVE_STOP,21:32:30,,#
304,1,R2_CHECK1,ADD_STOP,21:33:30,,#
305,1,R2_CHECK1,REMOVE_STOP,21:36:30,,#
306,1,R2_CHECK1,ADD_STOP,21:37:30,,#
307,1,R2_CHECK1,REMOVE_STOP,21:40:30,,#
308,1,R2_CHECK1,ADD_STOP,21:41:30,,#
309,1,R2_CHECK1,REMOVE_STOP,21:44:30,,#
310,1,R2_CHECK1,REMOVE_STOP,21:45:30,,#
311,1,R2_CHECK1,ADD_STOP,21:48:30,,#
312,1,R2_CHECK1,REMOVE_STOP,21:49:30,,#
313,1,R2_CHECK1,ADD_STOP,21:52:30,,#
314,1,R2_CHECK1,REMOVE_STOP,21:53:30,,#
315,1,R2_CHECK1,ADD_STOP,21:56:30,,#
316,1,R2_CHECK1,REMOVE_STOP,21:57:30,,#
317,1,R2_CHECK1,ADD_STOP,22:00:30,,#
318,1,R2_CHECK1,REMOVE_STOP,22:01:30,,#
319,1,R2_CHECK1,ADD_STOP,22:04:30,,#
320,1,R2_CHECK1,REMOVE_STOP,22:05:30,,#
321,1,R2_CHECK1,ADD_STOP,22:08:30,,#
322,1,R2_CHECK1,REMOVE_STOP,22:09:30,,#
323,1,R2_CHECK1,REMOVE_STOP,22:12:30,,#
324,1,R2_CHECK1,ADD_STOP,22:13:30,,#
325,1,R2_CHECK1,REMOVE_STOP,22:16:30,,#
326,1,R2_CHECK1,ADD_STOP,22:17:30,,#
327,1,R2_CHECK1,REMOVE_STOP,22:20:30,,#
328,1,R3_CHECK3,ADD_STOP,20:34:30,,#
329,1,R3_CHECK3,REMOVE_STOP,20:37:30,,#
330,1,R3_CHECK3,ADD_STOP,20:38:30,,#
331,1,R3_CHECK3,REMOVE_STOP,20:41:30,,#
